Alaska's Inside Passage: Eastern Coves,"Witness massive icebergs and calving glaciers aboard the ship, and kayak through icy narrows where salmon run. We hike trails into wildlife-rich forest and ride a skiff along a dramatic fjord. Along the way, learn about Tlingit culture, watch for whales, and visit two incredible areas—Tracy Arm Wilderness and Misty Fjords National Monument. Cruise past Tongass National Forest, the largest temperate rainforest in the world, keeping an eye out for orca in the nearby Behm Canal. Amid this spectacular, pristine journey we see bountiful wildlife and stunning scenery found only in this corner of the Earth.",Juneau,8,"abc",https://farm3.staticflickr.com/2869/13580660373_17006feaba_z_d.jpg,"[""Wildlife/Nature"",""Kayaking"",""Hiking""]"
Superstition Mountains Backpacking,"Home to the legend of the Lost Dutchman's Gold, Arizona's Superstition Mountains are one of the premiere hiking destinations in the Southwest. This craggy high desert wilderness provides the ideal setting for a backpacking expedition like no other. Abundant displays of giant Saguaro cacti and bright yellow lichen are highlights of an incredibly rugged desert terrain.",Tempe,4,"def",https://farm6.staticflickr.com/5300/5500620596_1216dabc24_z_d.jpg,"[""Group"",""Backpacking""]"
Death Valley Cycling,"Escape to one of the greatest surprises in the West for a biking experience that simply can't be duplicated: Death Valley. This 3.4 million acre national park is the largest in the United States and known the world over as a geographic rogue. Mountains rise 11,000 feet on either side of the valley that also holds the honor of being the eighth-lowest elevation location on the globe at -282 feet. Death Valley's smooth, winding roads provide the perfect route to discover a land born of fire, rich in minerals, and steeped in a curious history. Some of our best rides of the weekend find us skirting the edges of Badwater Basin and climbing around the colorful challenge of Artist's Palette. Grasp the vastness of the valley from the top of Dante's View, a lookout point 5,500 feet above this dramatic landscape. A weekend spinning wheels through Death Valley's exceptional cycling terrain revives the soul and opens the mind.",Las Vegas,4,"ghe",https://farm9.staticflickr.com/8370/8555174619_9eae57451a_z_d.jpg,"[""Cycling""]"
Appalachian Trail Hut-to-Hut Hiking – Pemigewasset Wilderness,"New Hampshire's White Mountains are home to some of the most beautiful scenery in the Northeast, and the famed Appalachian Trail takes us straight through the heart of it. The Pemigewasset Wilderness, our destination on this trip, is 45,000 acres of colorful, rugged terrain rich in history after decades of heavy logging.",Crawford Notch,4,"hij",https://farm8.staticflickr.com/7290/10355544225_37c61a0475_z_d.jpg,"[""Hiking""]"
San Juan Islands Weekend Kayaking,"Washington's San Juan Islands have all the makings of an unforgettable family trip: a multitude of activities, breathtaking scenery, and ample opportunity to breathe deep and relax. On our family adventure, look forward to fun and scenic hikes, exciting bike rides, and an overnight kayak tour to Jones Island. We enjoy a whale watching tour on one of San Juan Islands' most environmentally-friendly boats. If we're lucky, we may spot resident orca whales.",Friday Harbor,5,"klm",https://farm8.staticflickr.com/7012/6550522563_15902f772b_z_d.jpg,"[""Kayaking""]"
Virgin Islands Volunteer Vacation,"Virgin Islands National Park is a premier destination for North American travelers looking to trade the winter gray for a tropical escape, but volunteers are needed to keep the park in pristine condition. Our Volunteer Vacation is the perfect trip for those looking to give back in a beautiful location. Our itinerary balances rewarding days of trail maintenance with two days of relaxation. Our work varies based on the needs of the park, but we often focus on removing vegetation, improving trails, and clearing debris. Our work days end around 4:30, giving us each evening to relax on the beach or go for a swim. On our free days, we have a variety of activities to choose from, including hiking and snorkeling.",St. Thomas,12,"opq",https://farm6.staticflickr.com/5570/14296233911_752ec6ed0a_z_d.jpg,"[""Volunteer""]"
Alaska: Inside a Floating Aquarium,"Alaska's Inside Passage—packed with mysterious fjords, dramatic glaciers, and charismatic marine life—has long captivated families. Next year, the 300-mile-long (483-mile-long) route plays host to a new Lindblad Expeditions initiative aimed at transforming its vessels into outdoor classrooms. Over the past several years, the small-ship cruise outfitter has witnessed a surge in the number of families onboard its boats. For 2007, all of the outfitter's naturalists will be trained in child education through a course designed in conjunction with the National Geographic Society, and all of its Alaska vessels will be fitted with underwater bow cameras, allowing kids to track orcas and other creatures by operating a joystick in the ship's lounge.",Juneau,8,"nil",https://farm3.staticflickr.com/2453/3720691029_61fd6795a7_z_d.jpg?zz=1,"[""Leisure"",""Cruising""]"
California to Maine: Perfect Your Weekend," Few outdoor institutions are more sacred—and fragile—than the weekend trip. Done right, you tackle not one but several new summits by the time you head home. Done wrong, you get no farther than the trailhead, where you're stuck cleaning soot out of your camp stove. REI Adventures' Weekend Getaways Program, new for next year, is the first nationwide attempt at removing uncertainty from an action-packed long weekend. 'Most Americans' vacations last only three to six days, which means that people place a premium on their weekend,' says Justin Wood, coordinator of the program. 'Our destinations lend themselves to this kind of escape.'",Vermont,3,"nil",https://farm3.staticflickr.com/2580/3679502488_10a8cfe938_o_d.jpg,"[""Hiking"",""Camping""]"
Best Adventure Islands: Molokai,"It's not all cheap muumuus and mai tais here on the second smallest island in the Hawaiian chain, and that suits the few travelers who make the hour-and-a-half ferry crossing from Maui or the 20-minute flight from Oahu just fine. With deeply striated pali, or cliffs, at one end, rain forest in the mountainous middle, and arid scrub at the other, Molokai packs the best of Hawaii onto a compact, 38-mile-long (61-kilometer-long) playing field. Just one thing: To sample Molokai's delights, visitors need to roll up their shirtsleeves—exploration on this island requires more than flip-flops and shades. HOT TIP: Molokai is home to some of the best coffee in all of Hawaii. Be sure to swing by the Molokai Coffee Plantation, the state's oldest, to take a tour and pick up a few bags of vanilla-infused Island Princess coffee.",Hoolehua,10,"nil",https://farm7.staticflickr.com/6040/6221662242_e1f9ca468a_z_d.jpg,"[""Cycling""]"
Fly-fish in Utopia,"When the mexican government offered to pave the sand streets of Isla Holbox, the 1,600 or so residents of this dagger-shaped cay, just off the tip of the Yucatán Peninsula, said 'gracias, pero no.' That's the kind of independent spirit that pervades this easygoing, little-visited outpost—a well-guarded enclave of fishermen, divers, and seriously tan Italian expats who have an aversion to wearing shoes.To get here, make the 30-minute ferry crossing from Chiquilá on the mainland, then drop your bags at the just opened Isla Holbox Flyfishing Lodge, a five-room wooden guesthouse directly on the beach. You'll be greeted by Luciano Govi, the poetic and perpetually smiling on-site manager, who came to Holbox to see a friend in 2004 and never left. 'I found in this island a forgotten world,' he says.",Holbox,3,"nil",https://farm8.staticflickr.com/7380/11389431923_7871b1ff53_z_d.jpg,"[""Fishing"",""Leisure""]"
Canadian Rockies By Rail,"The majestic Canadian Rockies span nearly 69,500 square miles across two provinces. Along this great expanse are quiet alpine towns and breath-taking scenery. When combined with two of the most revered train journeys in the area, it makes for the perfect relaxing getaway. Board the famed Rocky Mountaineer scenic touring train to Banff and spend time exploring the incredible national parks of the Rockies before returning to Vancouver aboard VIA Rail's Canadian service.",Vancouver,9,"nil",https://farm9.staticflickr.com/8151/7648286818_b96688f785_z_d.jpg,"[""Trains"",""Leisure""]"
Cycling the vineyards of California,"The ultimate US road trip, by bike! From San Francisco to Los Angeles, our journey covers the very best under the Californian sunshine. This truly iconic ride takes you through the rolling hills of world renowned wine estates in Napa Valley, alongside towering Redwood trees and across the Golden Gate Bridge. Our route follows vast stretches of Coastal Highway 1, designated an `All American Road' for its striking scenic beauty. This famous road twists its way around rocky headlands, clinging to the cliffs as crashing waves stir the numerous Elephant seal colonies that scatter the beaches below. Out of the saddle we explore the many incredible state parks, isolated beaches and prestigious wineries that the region is so highly regarded for, as well as re-fuelling on fine Californian cuisine.",San Francisco,12,"nil",https://farm5.staticflickr.com/4081/4914424623_b1f698b94e_z_d.jpg,"[""Cycling""]"
Texas Ranger,"Texas is a cultural melting pot thanks to its close proximity to, and colourful history with Mexico. Feast on fiery Tex-Mex cuisine, saddle up for an authentic ranch experience, delve into the local music scene and explore the natural wonders of Big Bend National Park on this tour of the Lone Star State. See where Davey Crockett made his last stand at the Alamo, discover the rich colourful past in San Antonio and visit the Grassy Knoll where John F Kennedy was killed. Wide-open spaces and colourful characters make Texas a one of a kind holiday destination.",San Antonio,2,"nil",https://farm4.staticflickr.com/3314/3288538574_f2db3742d8_o_d.jpg,"[""Leisure"",""Horse Riding"",""Historical""]"
Historical Route 66,"Immortalized in folklore, cinema and song, Route 66 remains the iconic symbol of the great American road trip; a journey of adventure, discovery and the freedom of the open road. Cruising 'America's Main Street,' the first direct route from the Midwest to the Pacific, you'll cross 8 states and make a small detour for the biggest sight in the West, the magnificent Grand Canyon. From snow-cones and corndogs, to cowboys, country music and rock-n-roll - its classic Americana all the way, as you travel from the heartland to the coast on the worlds most famous road.",Los Angeles,15,"nil",https://farm4.staticflickr.com/3143/2982595969_bbe67fc03b_z_d.jpg?zz=1,"[""Road Trip"",""Standard""]"
